Title,Description,ISBN,Publish Year,Cover Image URL,Borrow Link
Great Expectations,"Great Expectations is Charles Dickens's thirteenth novel. It is his second novel, after David Copperfield, to be fully narrated in the first person. Great Expectations is abildungsroman, or a coming-of-age novel, and it is a classic work of Victorian literature. It depicts the growth and personal development of an orphan named Pip. The novel was first published in serial form in Dickens' weekly periodical All the Year Round, from 1 December 1860 to August 1861. In October 1861, Chapman and Hall published the novel in three volumes.Great Expectations was to be twice as long, but constraints imposed by the management of All the Year Round limited the novel's length. Collected and dense, with a conciseness unusual for Dickens, the novel represents Dickens' peak and maturity as an author. According to G. K. Chesterton, Dickens penned Great Expectations in ""the afternoon of [his] life and fame."" It was the penultimate novel Dickens completed, preceding Our Mutual Friend.It is set among the marshes of Kent and in London in the early to mid-1800s. From the outset, the reader is ""treated"" by the terrifying encounter between Pip, the protagonist, and the escaped convict, Abel Magwitch. Great Expectations is a graphic book, full of extreme imagery, poverty, prison ships, ""the hulks,"" barriers and chains, and fights to the death. It therefore combines intrigue and unexpected twists of autobiographical detail in different tones. Regardless of its narrative technique, the novel reflects the events of the time, Dickens' concerns, and the relationship between society and man.The novel has received mixed reviews from critics: Thomas Carlyle speaks of ""All that Pip's nonsense,"" while George Bernard Shaw praised the novel as ""All of one piece and Consistently truthfull."" Dickens felt Great Expectations was his best work, calling it ""a very fine idea,"" and was very sensitive to compliments from his friends: ""Bulwer, who has been, as I think you know, extraordinarily taken by the book.""",9786155529948,2024-01-19,http://books.google.com/books/content?id=49HsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL8721462W
The Murder on the Links,"Step into the world of mystery and intrigue with Agatha Christie's enthralling novel, The Murder on the Links."" Join the brilliant detective Hercule Poirot as he navigates a web of deception and danger on a French golf course. As the story unfolds, ask yourself: What secrets lie buried beneath the pristine greens, and who among the players is capable of murder?When Poirot is summoned to investigate the shocking murder of a wealthy man, he quickly finds himself entangled in a case filled with perplexing clues and a host of intriguing characters. Each suspect harbors their own motives, and as Poirot digs deeper, the stakes rise and the tension mounts. Are you ready to unravel the mystery alongside Poirot, piecing together the clues to uncover the truth? The Murder on the Links promises an exhilarating journey of deduction and suspense. Don't miss your chance to experience the thrill of a classic detective story. Purchase The Murder on the Links today and see if you can crack the case before the final reveal!",,2024-10-26,http://books.google.com/books/content?id=hmQsEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL472073W
Murder in Three Acts,"After two mysterious poisonings, Sir Charles stages a party and invites Hercule Poirot in the hopes of discovering the killer.",9781600478765,1988,http://books.google.com/books/content?id=QzsOAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL471765W
A Study in Scarlet,"Introduction by Anne Perry Includes newly commissioned endnotes In 1887, a young Arthur Conan Doyle published A Study in Scarlet, creating an international icon in the quick-witted sleuth Sherlock Holmes. In this very first Holmes mystery, the detective introduces himself to Dr. John H. Watson with the puzzling line “You have been in Afghanistan, I perceive,” and so begins Watson’s, and the world’s, fascination with this enigmatic character. In A Study in Scarlet, Doyle presents two equally perplexing mysteries for Holmes to solve: one a murder that takes place in the shadowy outskirts of London, in a locked room where the haunting word Rache is written upon the wall, the other a kidnapping set in the American West. Picking up the “scarlet thread of murder running through the colourless skein of life,” Holmes demonstrates his uncanny knack for finding the truth, tapping into powers of deduction that still captivate readers today.",9780307430489,2007-12-18,http://books.google.com/books/content?id=BE4pmIwxYnIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL262496W
The Murder of Roger Ackroyd,"The Murder of Roger Ackroyd by Agatha Christie is an iconic mystery novel that has captivated readers for decades. It tells the story of Roger Ackroyd, a wealthy man who is murdered in his own home. The novel follows the investigation of Hercule Poirot, a famous detective, as he attempts to solve the crime. The novel was first published in 1926 and quickly became a classic. It is widely considered to be one of the most influential works of detective fiction ever written, and it has been adapted into film and television multiple times. The novel is known for its unexpected twist ending, which many consider to be one of the greatest surprises in literature. At its core, The Murder of Roger Ackroyd is a classic whodunit mystery. It features a diverse cast of characters with secrets to keep and motives to uncover. All of these elements come together in a thrilling narrative that keeps readers guessing until the very end. The novel also examines themes such as justice, loyalty, and morality. It explores how far people are willing to go to protect their interests and how justice can be served despite impossible odds. These themes are explored through the eyes of Hercule Poirot, who serves as both a detective and a moral compass throughout the story. The Murder of Roger Ackroyd is an essential read for anyone interested in detective fiction or classic literature. Its clever plot twists and thought-provoking themes make it a must-read for fans of Agatha Christie’s work.",9780369409157,2023-03-01,http://books.google.com/books/content?id=AUGxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL471932W
The Secret Adversary,"Investigating the case of Jane Finn, a woman who has been missing for five years, young adventurers Tommy and Tuppence Beresford uncover just enough information to solve the mystery and put their own lives in jeopardy. Reissue.",9780451201201,2001-01-01,http://books.google.com/books/content?id=QAveKZqSjJcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL471789W
The Island of Dr. Moreau,Following a shipwreck a young naturalist finds himself on an island run by a mad scientist intent on creating a strain of beast men,9780553214321,1994,http://books.google.com/books/content?id=Q-bMzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL381550W
Lady Chatterley's Lover (The Unexpurgated Edition),"This carefully crafted ebook: ""Lady Chatterley's Lover (The Unexpurgated Edition)"" is formatted for your eReader with a functional and detailed table of contents. This novel by D. H. Lawrence was first published in 1928 and subsequently banned. Lady Chatterley's Lover is one of the most subversive novels in English Literature. The first edition was printed privately in Florence, Italy, with assistance from Pino Orioli; an unexpurgated edition could not be published openly in the United Kingdom until 1960. (A private edition was issued by Inky Stephensen's Mandrake Press in 1929.) The book soon became notorious for its story of the physical relationship between a working-class man and an upper-class woman, its explicit descriptions of sex, and its use of then-unprintable words. Lady Chatterley's Lover was inspired by the long-standing affair between Frieda, Lawrence's German wife, and an Italian peasant who eventually became her third husband; Lawrence's struggle with sexual impotence; and the circumstances of his and Frieda's courtship and the early years of their marriage.",,2023-12-29,http://books.google.com/books/content?id=_yTmEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL81180W
The Hunger Games,"First in the ground-breaking HUNGER GAMES trilogy. In a vision of the near future, a terrifying reality TV show is taking place. Twelve boys and twelve girls are forced to appear in a live event called The Hunger Games. There is only one rule: kill or be killed. But Katniss has been close to death before. For her, survival is second nature.",9781407133171,2011-12,http://books.google.com/books/content?id=_zSzAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL5735363W
The Ugly Duckling,"A mother duck hatches a brood of ducklings. All are sweet little yellow babies - all but one, who is very large, very gray, and very ugly. The poor ugly duckling is teased and tormented by everyone he meets, even his own mother, brothers, and sisters. Driven from his home in the barnyard, the unhappy duckling wanders the world alone, suffering hardships, cruelty, and ridicule wherever he goes. This exquisite tale of rejection and redemption has been a favorite with children since its first publication in 1845. The hapless duck's plight, and his ultimate triumph, is especially relevant in today's image-conscious world.",9780721450322,1987,http://books.google.com/books/content?id=eH_o5OQbhw8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL15155002W
Vanity Fair,"A periodical in part famous for the cartoon portraits of politicians and public figures. These were mainly by ""Spy"" (i.e. Sir Leslie Ward) and ""Ape"" (i.e. Carlo Pellegrini).",,1876,http://books.google.com/books/content?id=U1FHAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL16313W
The Red Badge of Courage,"In the spring of 1863, as he faces battle for the first time at Chancellorsville, Virginia, a young Union soldier matures to manhood and finds peace of mind as he comes to grips with his conflicting emotions about war.",9780689820007,2002,http://books.google.com/books/content?id=1NtnZ19XpJwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL20844W
Fantastic Mr Fox (Colour Edn),"The legendary Roald Dahl story with full-colour illustrations by Quentin Blake throughout. Fantastic Mr Fox - the tale of the most cunning fox in the world. Boggis is an enormously fat chicken farmer who only eats boiled chickens smothered in fat. Bunce is a duck-and-goose farmer whose dinner gives him a beastly temper. Bean is a turkey-and-apple farmer who only drinks gallons of strong cider. Mr Fox is so clever that every evening he creeps down into the valley and helps himself to food from the farms. Now the farmers have hatched a plan to BANG-BANG-BANG shoot Mr Fox dead. But, just when they think Mr Fox can't possibly escape, he makes a fantastic plan of his own . . . Listen to FANTASTIC MR FOX and other Roald Dahl audiobooks read by some very famous voices, including Kate Winslet, David Walliams and Steven Fry - plus there are added squelchy soundeffects from Pinewood Studios! And look out for new Roald Dahl apps in the App store and Google Play - including the disgusting TWIT OR MISS! and HOUSE OF TWITS inspired by the revolting Twits.",9780141378503,2016-09-13,http://books.google.com/books/content?id=hp_7DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL20844W
